unnamed_0,year,prize,motivation,laureate_id,birth_city,birth_country,organization_name,organization_city,organization_country,death_city,death_country,usa_born_winner,decade,female,age,category_Chemistry,category_Economics,category_Literature,category_Medicine,category_Peace,category_Physics,prize_encoded,motivation_encoded,prize_share_1/1,prize_share_1/2,prize_share_1/3,prize_share_1/4,laureate_type_Individual,laureate_type_Organization,birth_city_encoded,birth_country_encoded,sex_Male,organization_name_encoded,organization_city_encoded,organization_country_encoded,death_city_encoded,death_country_encoded,age_group_Adult,age_group_Senior,age_group_Youth
-0.44109333638747783,-0.2194389658612752,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",374,Pongaroa,New Zealand,London University,London,United Kingdom,London,United Kingdom,False,-0.14245294181630286,False,-1.1076260652093455,0,0,0,1,0,0,476,407,0,0,1,0,1,0,412,71,1,120,89,27,143,45,1,0,0
-0.4372908076255168,-0.2194389658612752,The Nobel Peace Prize 1962,"""for development of methods to cool and trap atoms with laser light""",217,"Portland, OR",United States of America,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,"Big Sur, CA",United States of America,True,-0.14245294181630286,False,0.12492362380414859,0,0,0,0,1,0,45,21,1,0,0,0,1,0,414,115,1,25,125,28,27,46,1,0,0
-0.4334882788635558,-0.2194389658612752,The Nobel Prize in Physics 1962,"""for his pioneering theories for condensed matter, especially liquid helium""",77,Baku,Russian Empire (Azerbaijan),Academy of Sciences,Moscow,Union of Soviet Socialist Republics,Moscow,Union of Soviet Socialist Republics (Russia),False,-0.14245294181630286,False,-0.4502662310688153,0,0,0,0,0,1,369,214,1,0,0,0,1,0,36,90,1,2,105,26,166,44,1,0,0
-0.42968575010159477,-0.18896969320472584,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers""",228,Helsa,Germany,Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Federal Republic of Germany,Mülheim,West Germany (Germany),False,-0.14245294181630286,False,0.4536035408744137,1,0,0,0,0,0,151,415,0,1,0,0,1,0,209,43,1,138,110,9,172,48,0,1,0
-0.42588322133963374,-0.18896969320472584,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers""",229,Imperia,Italy,Institute of Technology,Milan,Italy,Bergamo,Italy,False,-0.14245294181630286,False,0.04275364453658232,1,0,0,0,0,0,151,415,0,1,0,0,1,0,229,58,1,90,103,17,21,22,1,0,0
-0.4220806925776727,-0.18896969320472584,The Nobel Prize in Literature 1963,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture""",635,Smyrna (Izmir),Ottoman Empire (Turkey),University of California,"Cambridge, MA",United States of America,Athens,Greece,False,-0.14245294181630286,False,0.2892635823392811,0,0,1,0,0,0,260,166,1,0,0,0,1,0,473,76,1,223,35,28,6,16,1,0,0
-0.4182781638157117,-0.18896969320472584,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",375,Melbourne,Australia,Australian National University,Canberra,Australia,Contra,Switzerland,False,-0.14245294181630286,False,0.04275364453658232,0,0,0,1,0,0,477,405,0,0,1,0,1,0,317,1,1,9,36,2,69,41,1,0,0
-0.4144756350537507,-0.18896969320472584,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",376,Banbury,United Kingdom,University of Cambridge,Cambridge,United Kingdom,Cambridge,United Kingdom,False,-0.14245294181630286,False,-0.8611161274066467,0,0,0,1,0,0,477,405,0,0,1,0,1,0,38,114,1,226,34,27,53,45,1,0,0
-0.4106731062917897,-0.18896969320472584,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",377,Hampstead,United Kingdom,University College,London,United Kingdom,Grantchester,United Kingdom,False,-0.14245294181630286,False,-1.1076260652093455,0,0,0,1,0,0,477,405,0,0,1,0,1,0,202,114,1,220,89,27,96,45,1,0,0
-0.4068705775298287,-0.18896969320472584,The Nobel Peace Prize 1963,"""for development of methods to cool and trap atoms with laser light""",482,"New York, NY",United States of America,University of California,"Cambridge, MA",United States of America,Paris,United States of America,False,-0.14245294181630286,False,0.04275364453658232,0,0,0,0,1,0,46,21,0,1,0,0,0,1,362,115,1,223,35,28,197,46,0,1,0
