unnamed_0,year,motivation,organization_name,organization_city,organization_country,usa_born_winner,decade,female,age,category_Economics,category_Literature,category_Medicine,category_Peace,category_Physics,prize_share_1/2,prize_share_1/3,prize_share_1/4,laureate_type_Organization,sex_Male,age_group_Senior,age_group_Youth
-1.7301505866922622,-2.0780645979107857,1,-0.5903845438019593,-1.6352605431653104,-1.7851442529784551,False,-1.9617234557600494,False,-0.8611161274066467,0,0,0,0,0,0,0,0,0,1,0,0
-1.726348057930301,-2.0780645979107857,1,1.18759998315204,-0.9952079739607571,0.529825732022787,False,-1.9617234557600494,False,0.20709360307171487,0,1,0,0,0,0,0,0,0,1,0,0
-1.72254552916834,-2.0780645979107857,1,-0.5903845438019593,0.604923449050626,-1.7851442529784551,False,-1.9617234557600494,False,-1.0254560859417792,0,0,1,0,0,0,0,0,0,1,0,0
-1.718743000406379,-2.0780645979107857,0,1.18759998315204,-0.9952079739607571,0.529825732022787,False,-1.9617234557600494,False,1.110963375014944,0,0,0,1,0,1,0,0,0,1,1,0
-1.714940471644418,-2.0780645979107857,0,1.18759998315204,-0.9952079739607571,0.529825732022787,False,-1.9617234557600494,False,1.6039832506203415,0,0,0,1,0,1,0,0,0,1,1,0
-1.7111379428824571,-2.0780645979107857,1,-0.5903845438019593,0.604923449050626,-1.7851442529784551,False,-1.9617234557600494,False,-0.28592627253368275,0,0,0,0,1,0,0,0,0,1,0,0
-1.707335414120496,-2.0475953252542363,1,-0.5903845438019593,-1.6352605431653104,-1.7851442529784551,False,-1.9617234557600494,False,-0.7789461481390804,0,0,0,0,0,0,0,0,0,1,0,0
-1.703532885358535,-2.0475953252542363,1,1.18759998315204,-0.9952079739607571,0.529825732022787,False,-1.9617234557600494,False,2.097003126225739,0,1,0,0,0,0,0,0,0,1,1,0
-1.699730356596574,-2.0475953252542363,1,-0.5903845438019593,0.604923449050626,0.38514010796020937,False,-1.9617234557600494,False,-1.1897960444769118,0,0,1,0,0,0,0,0,0,1,0,0
-1.695927827834613,-2.0475953252542363,0,1.18759998315204,-0.9952079739607571,0.529825732022787,False,-1.9617234557600494,False,0.7822834579446788,0,0,0,1,0,1,0,0,0,1,1,0
-1.6921252990726519,-2.0475953252542363,0,1.18759998315204,-0.9952079739607571,0.529825732022787,False,-1.9617234557600494,False,-0.03941633473098395,0,0,0,1,0,1,0,0,0,1,0,0
-1.688322770310691,-2.0475953252542363,1,-0.5903845438019593,0.604923449050626,-0.7723448845404117,False,-1.9617234557600494,False,-0.8611161274066467,0,0,0,0,1,1,0,0,0,1,0,0
-1.68452024154873,-2.0475953252542363,1,-0.5903845438019593,0.604923449050626,-0.7723448845404117,False,-1.9617234557600494,False,-1.847155878617442,0,0,0,0,1,1,0,0,0,1,0,0
-1.680717712786769,-2.017126052597687,1,-0.5903845438019593,2.5250811566642857,-0.04891676422752351,False,-1.9617234557600494,False,-1.271966023744478,0,0,0,0,0,0,0,0,0,1,0,0
-1.676915184024808,-2.017126052597687,1,1.18759998315204,-0.9952079739607571,0.529825732022787,False,-1.9617234557600494,False,0.9466234164798113,0,1,0,0,0,0,0,0,0,1,1,0
-1.6731126552628468,-2.017126052597687,1,-0.5903845438019593,0.604923449050626,-2.3638867492287656,False,-1.9617234557600494,False,-1.3541360030120444,0,0,1,0,0,0,0,0,0,1,0,0
-1.6693101265008858,-2.017126052597687,0,1.18759998315204,-0.9952079739607571,0.529825732022787,False,-1.9617234557600494,False,1.2753033335500763,0,0,0,1,0,0,0,0,0,1,1,0
-1.6655075977389249,-2.017126052597687,1,-0.5903845438019593,1.2449760182551792,-1.9298298770410327,False,-1.9617234557600494,False,-0.6967761688715142,0,0,0,0,1,1,0,0,0,1,0,0
-1.661705068976964,-2.017126052597687,1,-0.5903845438019593,1.2449760182551792,-1.9298298770410327,False,-1.9617234557600494,False,-1.271966023744478,0,0,0,0,1,0,0,1,0,1,0,0
-1.6579025402150027,-2.017126052597687,1,1.18759998315204,-0.9952079739607571,0.529825732022787,False,-1.9617234557600494,True,-1.9293258578850083,0,0,0,0,1,0,0,1,0,0,0,0
-1.6541000114530418,-1.9866567799411377,1,-0.5903845438019593,-0.35515540475620383,0.38514010796020937,False,-1.9617234557600494,False,-0.6146061896039479,0,0,0,0,0,0,0,0,0,1,0,0
-1.6502974826910808,-1.9866567799411377,1,1.18759998315204,-0.9952079739607571,0.529825732022787,False,-1.9617234557600494,False,1.1931333542825102,0,1,0,0,0,1,0,0,0,1,1,0
-1.6464949539291198,-1.9866567799411377,1,1.18759998315204,-0.9952079739607571,0.529825732022787,False,-1.9617234557600494,False,1.0287933957473776,0,1,0,0,0,1,0,0,0,1,1,0
-1.6426924251671589,-1.9866567799411377,1,-0.5903845438019593,0.604923449050626,-0.33828801235267875,False,-1.9617234557600494,False,-0.36809625180124905,0,0,1,0,0,0,0,0,0,1,0,0
-1.6388898964051977,-1.9866567799411377,0,1.18759998315204,-0.9952079739607571,0.529825732022787,False,-1.9617234557600494,False,0.04275364453658232,0,0,0,1,0,0,0,0,1,1,1,0
-1.6350873676432367,-1.9866567799411377,1,-0.5903845438019593,-0.35515540475620383,0.38514010796020937,False,-1.9617234557600494,False,0.20709360307171487,0,0,0,0,1,0,0,0,0,1,0,0
-1.6312848388812757,-1.9561875072845882,1,-0.5903845438019593,0.604923449050626,-1.7851442529784551,False,-1.9617234557600494,False,0.864453437212245,0,0,0,0,0,0,0,0,0,1,1,0
-1.6274823101193148,-1.9561875072845882,1,1.18759998315204,-0.9952079739607571,0.529825732022787,False,-1.9617234557600494,False,-0.03941633473098395,0,1,0,0,0,0,0,0,0,1,0,0
-1.6236797813573536,-1.9561875072845882,1,-0.5903845438019593,-1.6352605431653104,-1.7851442529784551,False,-1.9617234557600494,False,0.20709360307171487,0,0,1,0,0,0,0,0,0,1,0,0
-1.6198772525953926,-1.9561875072845882,0,1.18759998315204,-0.9952079739607571,0.529825732022787,False,-1.9617234557600494,True,0.20709360307171487,0,0,0,1,0,0,0,0,0,0,0,0
-1.6160747238334316,-1.9561875072845882,1,-0.5903845438019593,0.604923449050626,-1.7851442529784551,False,-1.9617234557600494,False,-1.3541360030120444,0,0,0,0,1,0,0,0,0,1,0,0
-1.6122721950714707,-1.925718234628039,1,-0.5903845438019593,1.2449760182551792,-1.9298298770410327,False,-1.9617234557600494,False,-0.4502662310688153,0,0,0,0,0,0,0,0,0,1,0,0
-1.6084696663095097,-1.925718234628039,1,1.18759998315204,-0.9952079739607571,0.529825732022787,False,-1.9617234557600494,False,0.9466234164798113,0,1,0,0,0,0,0,0,0,1,1,0
-1.6046671375475485,-1.925718234628039,1,-0.5903845438019593,0.604923449050626,-1.0617161326655669,False,-1.9617234557600494,False,0.2892635823392811,0,0,1,0,0,1,0,0,0,1,0,0
-1.6008646087855876,-1.925718234628039,1,-0.5903845438019593,0.604923449050626,-0.19360238829010115,False,-1.9617234557600494,False,-0.4502662310688153,0,0,1,0,0,1,0,0,0,1,0,0
-1.5970620800236266,-1.925718234628039,0,1.18759998315204,-0.9952079739607571,0.529825732022787,True,-1.9617234557600494,False,-0.943286106674213,0,0,0,1,0,0,0,0,0,1,0,0
-1.5932595512616656,-1.925718234628039,1,1.6320961148905397,-1.3152342585630337,0.38514010796020937,False,-1.9617234557600494,False,-0.7789461481390804,0,0,0,0,1,0,0,0,0,1,0,0
